[Wed Jun 15 14:27:29 2016]	[client: 121.54.54.190] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Wed Jun 15 14:27:29 2016]	[client: 121.54.54.190] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]
[Wed Jun 15 15:04:39 2016]	[client: 112.198.77.214] [file: core.class.php] - [Device ID: 47AC25CC-38C2-4B5E-874B-BA23CA33CD0F, Platform: ios, PUSH ID: niYs5EJb32Q:APA91bHDqBt180eu7UuA1M1_jJmtL6z8QgkKZPrZXrwmwlGeoW0GnJsrubngYIgj0T3DL7eX7cV4a_p64Cfi-uw6ieDo7jJyuQc96wZQR_NhLXomQTsoadLqukWv6DC9v6fQrFf3p1RZ]	 Status: [Existing]
[Wed Jun 15 15:04:39 2016]	[client: 112.198.77.214] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 47AC25CC-38C2-4B5E-874B-BA23CA33CD0F, Platform: ios, PUSH ID: niYs5EJb32Q:APA91bHDqBt180eu7UuA1M1_jJmtL6z8QgkKZPrZXrwmwlGeoW0GnJsrubngYIgj0T3DL7eX7cV4a_p64Cfi-uw6ieDo7jJyuQc96wZQR_NhLXomQTsoadLqukWv6DC9v6fQrFf3p1RZ]
[Wed Jun 15 15:16:04 2016]	[client: 121.54.44.140] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Wed Jun 15 15:16:04 2016]	[client: 121.54.44.140] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]
[Wed Jun 15 15:23:55 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]	 Status: [Existing]
[Wed Jun 15 15:23:55 2016]	[client: 120.28.99.62] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]
[Wed Jun 15 15:31:30 2016]	[client: 112.198.90.180] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Wed Jun 15 15:31:31 2016]	[client: 112.198.90.180] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Wed Jun 15 15:52:05 2016]	[client: 112.198.90.180] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Wed Jun 15 15:52:05 2016]	[client: 112.198.90.180] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]
[Wed Jun 15 15:59:29 2016]	[client: 121.54.44.189] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Existing]
[Wed Jun 15 16:02:23 2016]	[client: 121.54.44.140] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]	 Status: [Existing]
[Wed Jun 15 16:02:24 2016]	[client: 121.54.44.140] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]	 Status: [Existing]
[Wed Jun 15 16:03:20 2016]	[client: 121.54.44.171] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Existing]
[Wed Jun 15 16:19:08 2016]	[client: 121.54.54.249] [file: core.class.php] - [Device ID: 315397c77e7bd466, Platform: android, PUSH ID: czaCVv1hrZ4:APA91bF6m3Fe1Xdpctl8iVesqtGiOb2BqmuI1zy2ZwB_WBTxH-Uw6cZgQ7wcN5ZqdVfxRdLSAhK9jSQyZfPBgLm3GD8JToMgxWZzVKc08S1aWwnKWcdaNFfoKS6XNxi5Aa5-e3AK7P5F]	 Status: [Existing]
[Wed Jun 15 17:15:17 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]	 Status: [Existing]
[Wed Jun 15 17:15:18 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]	 Status: [Existing]
