[Tue May 31 17:54:00 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]	 Status: [Existing]
[Tue May 31 17:55:07 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFksxEofVndz7MjoOGC4rG6TBJEpnbbR3xo4Bh5liiTgKzfZg587_SF8iaAhhudVc4_zkK0hettO-NX4wZS718je_D1hZ7dycL10UJui07qW-LCVqIwSdbgWRzUOaEJzzonbb6s]	 Status: [Existing]
[Tue May 31 18:03:13 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Tue May 31 18:06:03 2016]	[client: 203.87.156.160] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Tue May 31 18:28:19 2016]	[client: 203.87.156.160] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Tue May 31 18:28:39 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]	 Status: [Existing]
[Tue May 31 18:28:39 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]
[Tue May 31 18:32:08 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Tue May 31 18:32:08 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]
[Tue May 31 18:55:08 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Tue May 31 18:55:08 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]
[Tue May 31 18:56:23 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Tue May 31 18:56:23 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]
[Tue May 31 18:58:31 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Tue May 31 18:58:31 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]
[Tue May 31 18:59:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Tue May 31 18:59:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]
[Tue May 31 18:59:50 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Tue May 31 18:59:50 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]
[Tue May 31 19:00:23 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFksxEofVndz7MjoOGC4rG6TBJEpnbbR3xo4Bh5liiTgKzfZg587_SF8iaAhhudVc4_zkK0hettO-NX4wZS718je_D1hZ7dycL10UJui07qW-LCVqIwSdbgWRzUOaEJzzonbb6s]	 Status: [Existing]
[Tue May 31 21:47:47 2016]	[client: 130.105.215.167] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Tue May 31 21:47:48 2016]	[client: 130.105.215.167] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
