[Tue May 24 16:58:03 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 17:36:12 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 17:37:43 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 17:38:10 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 17:39:45 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 17:42:16 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 17:43:55 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 18:01:27 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 18:02:32 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Tue May 24 18:10:46 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
