[Thu May 26 13:33:07 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:33:56 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:34:24 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:35:18 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:36:38 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:39:56 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:41:00 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:42:18 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:42:49 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:44:03 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:46:55 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:47:17 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:55:52 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
