[Wed May 18 13:33:38 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Wed May 18 13:33:39 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Wed May 18 14:41:54 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cDMUDlZh-ps:APA91bHtRLe_zhyvvZZ_m0ZjhErNsM3EQxsJNgK3BXJ_SlvtcrxpKZKZhdFCeu2m2aiap6KV1Tud800G_stxwA5efM1Wt7OppCur9d_0XoG999oKrGoq5lqHMfnuGBV6_PGScXUQ6MWI]	 Status: [Existing]
[Wed May 18 14:44:08 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cDMUDlZh-ps:APA91bHtRLe_zhyvvZZ_m0ZjhErNsM3EQxsJNgK3BXJ_SlvtcrxpKZKZhdFCeu2m2aiap6KV1Tud800G_stxwA5efM1Wt7OppCur9d_0XoG999oKrGoq5lqHMfnuGBV6_PGScXUQ6MWI]	 Status: [Existing]
[Wed May 18 14:45:16 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Wed May 18 14:45:16 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]
[Wed May 18 14:46:57 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dHasgcKbcEQ:APA91bGIqME1v-8PI4E7D4FZkBb5SI9Ai2XlNyGcU4A90oFycGdasC2pTa7FJlanJExpI7DSVG8XxHdoPQlSAks9gdF5tyLruzinbAGDYT9hJ6HkdjNWkc7sBhIR1Zv0NjUyN70iFSnh]	 Status: [Existing]
[Wed May 18 14:52:48 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fg51L4EJJ2Y:APA91bFFZYChSNqjWjIYP_21rBOq_0niidrHJrI1Fo5TiOO1-2lzbWZIyjJBCZc_xvfLMDTH3nUWFIB2hm3uk7Rjm93UhMi0M4h22OWH2_R3poDfzUzJYTnZXeVd5Y5w9gJD1y5vPhhL]	 Status: [Existing]
[Wed May 18 15:39:34 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fg51L4EJJ2Y:APA91bFFZYChSNqjWjIYP_21rBOq_0niidrHJrI1Fo5TiOO1-2lzbWZIyjJBCZc_xvfLMDTH3nUWFIB2hm3uk7Rjm93UhMi0M4h22OWH2_R3poDfzUzJYTnZXeVd5Y5w9gJD1y5vPhhL]	 Status: [Existing]
[Wed May 18 15:41:26 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dxbjd_OPunA:APA91bF7mboaG_Cf6wb1BR00P4NEMVjAKoBUtv6fpExKe_zSTOZis1RIi3WJInZh9ITolBtYaYN1YxY9Z6EkBfZ_g1tHxxD-Dn1I_yIMDWOMMqkomdMf6MidYIK3t4TXPMuq7Y0C6Y-c]	 Status: [Existing]
