[Wed May 25 16:04:17 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: dYCAwle7Itw:APA91bGJ_OdhIqO04ncGbVbl2wbuhiG8JSHLExWc3Pduecw6ZVtYDiE8wjxl2UQnMXn7JgsH7O5Y1t7ZItGHreBpJPLtwRU723R6KTFWW90nZ6ttnr5rVc-XBzdCB8Bkyz805nyPC8vZ]	 Status: [Existing]
[Wed May 25 16:05:06 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: dYCAwle7Itw:APA91bGJ_OdhIqO04ncGbVbl2wbuhiG8JSHLExWc3Pduecw6ZVtYDiE8wjxl2UQnMXn7JgsH7O5Y1t7ZItGHreBpJPLtwRU723R6KTFWW90nZ6ttnr5rVc-XBzdCB8Bkyz805nyPC8vZ]	 Status: [Existing]
[Wed May 25 16:05:22 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: dYCAwle7Itw:APA91bGJ_OdhIqO04ncGbVbl2wbuhiG8JSHLExWc3Pduecw6ZVtYDiE8wjxl2UQnMXn7JgsH7O5Y1t7ZItGHreBpJPLtwRU723R6KTFWW90nZ6ttnr5rVc-XBzdCB8Bkyz805nyPC8vZ]	 Status: [Existing]
[Wed May 25 16:13:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: dYCAwle7Itw:APA91bGJ_OdhIqO04ncGbVbl2wbuhiG8JSHLExWc3Pduecw6ZVtYDiE8wjxl2UQnMXn7JgsH7O5Y1t7ZItGHreBpJPLtwRU723R6KTFWW90nZ6ttnr5rVc-XBzdCB8Bkyz805nyPC8vZ]	 Status: [Existing]
[Wed May 25 16:18:52 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
[Wed May 25 16:18:53 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
[Wed May 25 16:19:46 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: n8oomdj2-Eg:APA91bHe8MiJ_0Q-pIKJbHCPs28CjWvKVWTcXaNzSfl9o6Ks38G2wFJhCrvt5uDo0JIXZzU384dQCG0baNquhJJzJpRRFJlZbImuZuxsg8sLaBe7x4YPU5zcIuvE7XeV7zZN4yBEtpUH]	 Status: [Existing]
[Wed May 25 16:19:46 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: n8oomdj2-Eg:APA91bHe8MiJ_0Q-pIKJbHCPs28CjWvKVWTcXaNzSfl9o6Ks38G2wFJhCrvt5uDo0JIXZzU384dQCG0baNquhJJzJpRRFJlZbImuZuxsg8sLaBe7x4YPU5zcIuvE7XeV7zZN4yBEtpUH]
[Wed May 25 16:19:48 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFXhTXtxBoiWIxX2pC4HeTWi0XCeSz-2pklwkjKof67Ayp_zmCeKbnB3oJWvf62L_Ec5DKXpCwEGS-o_tNqnRfPz_1tDk80Ie-8FxUYY2iKWIpiIwq5yhKsCzDj5oy5qBc8HKmz]	 Status: [Existing]
[Wed May 25 16:23:03 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
